,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
123,Ahipara,NZ,-35.1667,173.1667,57.47,97,78,2.91,broken clouds
124,Inverell,AU,-29.7833,151.1167,51.67,87,100,1.34,light rain
125,Saryg-Sep,RU,51.5,95.6,25.34,73,100,1.53,overcast clouds
126,Manggar,ID,-2.8833,108.2667,80.76,78,75,0.74,broken clouds
127,Castro,BR,-24.7911,-50.0119,65.59,78,92,2.98,overcast clouds
128,Jinchang,CN,38.4953,102.1739,60.78,30,34,6.83,scattered clouds
129,Port Alfred,ZA,-33.5906,26.891,67.17,75,94,1.79,overcast clouds
130,Belle Fourche,US,44.6714,-103.8522,59.34,86,100,2.2,overcast clouds
131,Bathsheba,BB,13.2167,-59.5167,88.41,70,20,6.17,few clouds
132,Toora-Khem,RU,52.4675,96.11,19.04,71,59,1.97,broken clouds
133,Hambantota,LK,6.1241,81.1185,80.06,79,100,7.99,overcast clouds
134,Kandalaksha,RU,67.162,32.4123,33.1,99,100,1.11,light snow
135,Abomey,BJ,7.1829,1.9912,76.8,84,100,3.42,overcast clouds
136,Looc,PH,12.2605,121.9926,79.92,84,89,3.49,overcast clouds
137,Buala,SB,-8.145,159.5921,79.36,82,34,2.21,light rain
138,Talnakh,RU,69.4865,88.3972,29.21,97,100,2.71,light snow
139,Vila Velha,BR,-20.3297,-40.2925,75.15,71,75,4.12,broken clouds
140,Katsuura,JP,35.1333,140.3,71.2,83,1,5.0,clear sky
141,Longyearbyen,SJ,78.2186,15.6401,37.24,93,75,3.6,light intensity drizzle
142,Farah,AF,32.5,62.5,77.11,16,0,2.28,clear sky
143,Jalu,LY,29.0331,21.5482,103.87,11,0,5.93,clear sky
144,Kholmy,UA,51.871,32.6006,59.43,72,100,4.51,overcast clouds
145,Saint Anthony,US,45.0205,-93.218,62.89,68,0,2.57,clear sky
146,Fortuna,US,40.5982,-124.1573,48.54,48,48,1.84,scattered clouds
147,Manaus,BR,-3.1019,-60.025,90.1,66,40,3.09,scattered clouds
148,Lompoc,US,34.6391,-120.4579,62.78,97,100,2.57,overcast clouds
149,Bonthe,SL,7.5264,-12.505,80.96,77,75,3.43,moderate rain
150,Capao Da Canoa,BR,-29.7456,-50.0097,68.13,73,41,5.06,scattered clouds
151,Vardo,NO,70.3705,31.1107,39.18,75,100,5.14,overcast clouds
152,Almaty,KZ,43.25,76.95,40.91,28,40,2.0,smoke
153,Kavieng,PG,-2.5744,150.7967,81.28,79,26,6.37,light rain
154,Colares,PT,38.7992,-9.4469,84.33,61,0,2.06,clear sky
155,Kasongo-Lunda,CD,-6.4667,16.8167,86.72,50,31,1.32,scattered clouds
156,Faanui,PF,-16.4833,-151.75,77.14,70,70,3.61,broken clouds
157,Qidong,CN,31.8128,121.6561,76.93,93,5,7.32,clear sky
158,Anadyr,RU,64.75,177.4833,30.7,86,0,4.0,clear sky
159,Namatanai,PG,-3.6667,152.4333,78.8,81,19,3.23,light rain
160,Lalmohan,BD,22.3384,90.7419,82.58,82,98,3.72,heavy intensity rain
161,Ozuluama,MX,21.6667,-97.85,72.9,77,5,2.03,clear sky
162,Yar-Sale,RU,66.8333,70.8333,32.72,67,87,6.11,overcast clouds
163,Benjamin Aceval,PY,-24.9667,-57.5667,77.59,39,0,2.58,clear sky
164,Marzuq,YE,14.4,46.4667,83.46,24,5,2.51,clear sky
165,Kumo,NG,10.0447,11.2122,90.03,47,12,3.12,few clouds
166,Buin,CL,-33.7333,-70.75,78.12,44,100,2.17,overcast clouds
167,Atambua,ID,-9.1061,124.8925,75.85,83,89,1.2,overcast clouds
168,Strezhevoy,RU,60.7333,77.5889,27.55,77,43,0.44,scattered clouds
169,Dikson,RU,73.5069,80.5464,34.48,99,100,5.91,overcast clouds
170,Aktash,RU,50.3,87.7333,9.09,65,76,1.13,broken clouds
171,Port Elizabeth,ZA,-33.918,25.5701,67.32,73,0,5.14,clear sky
172,San Blas,MX,21.5167,-105.2667,82.29,84,99,0.81,overcast clouds
173,Mumford,GH,5.2618,-0.759,78.4,81,27,6.81,light rain
174,Port Moresby,PG,-9.4431,147.1797,78.22,89,40,5.14,scattered clouds
175,Port Hardy,CA,50.6996,-127.4199,48.38,93,100,2.06,fog
176,Itaporanga,BR,-7.3044,-38.1503,96.03,15,13,3.09,few clouds
177,Aklavik,CA,68.2191,-135.0107,31.87,99,100,2.52,overcast clouds
178,Hovd,MN,48.0056,91.6419,27.34,29,100,2.5,overcast clouds
179,Chokurdakh,RU,70.6333,147.9167,22.95,88,100,1.86,overcast clouds
180,Annau,TM,37.8876,58.516,72.9,23,20,1.03,few clouds
181,Mount Isa,AU,-20.7333,139.5,71.37,53,40,2.57,light rain
182,Cidreira,BR,-30.1811,-50.2056,65.01,78,82,6.05,broken clouds
