,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
459,Palasa,IN,79.43,few clouds,18.7667,84.4167,Balaji tifen & meals veg & non veg hotel
460,Praia,CV,84.74,broken clouds,14.9215,-23.5087,LT Aparthotel
466,Bambanglipuro,ID,77.29,broken clouds,-7.95,110.2833,Puri Brata
470,San-Pedro,CI,77.65,moderate rain,4.7485,-6.6363,Hotel Maria
472,Majene,ID,78.67,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
478,Thinadhoo,MV,82.4,scattered clouds,0.5333,72.9333,
481,Bitung,ID,77.85,broken clouds,1.4451,125.1824,K2 Lembeh
484,Delta,NG,80.76,moderate rain,5.5,6.0,Prestige Hotel
486,Ipira,BR,81.91,broken clouds,-12.1583,-39.7372,Hotel Phyccus
490,Calabozo,VE,87.13,few clouds,8.9242,-67.4293,Hotel Giardini
492,Minab,IR,87.21,clear sky,27.1467,57.0801,Bam campground
495,Panzos,GT,76.12,overcast clouds,15.4,-89.6667,Hogar mendoza
497,Akyab,MM,80.38,very heavy rain,20.15,92.9,ဟိုတယ် မန်မိုရီ
498,Port Blair,IN,80.64,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
507,Wanning,CN,78.28,overcast clouds,18.8003,110.3967,Paradise Hotel
509,Mugango,TZ,77.09,overcast clouds,-1.6833,33.7,
511,Karabuk,TR,76.14,clear sky,41.2049,32.6277,Elit Uzungol Hotel
513,Hurghada,EG,87.87,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
514,Mogadouro,PT,77.25,few clouds,41.3403,-6.7119,Pensão Russo
517,Caluquembe,AO,89.46,scattered clouds,-13.7833,14.6833,Hotel Kalukembe
522,Jaque,PA,75.29,heavy intensity rain,7.5175,-78.1703,Aventuras Jaque S.A
523,Kathu,TH,85.75,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
529,Ranong,TH,78.93,overcast clouds,9.9658,98.6348,Numsai Khaosuay Resort Ranong
530,Ughelli,NG,80.76,moderate rain,5.4899,6.0074,Prestige Hotel
535,Tupi Paulista,BR,80.31,clear sky,-21.3811,-51.5706,Hotel São Bento
536,Lahaina,US,77.81,clear sky,20.8783,-156.6825,Lahaina Shores Beach Resort
539,Takoradi,GH,78.48,light rain,4.8845,-1.7554,Raybow International Hotel
541,Sal Rei,CV,84.4,broken clouds,16.1833,-22.9167,Marine Club Beach Resort
545,Sai Buri,TH,76.6,overcast clouds,6.7013,101.6168,สวนป่ารีสอร์ท
548,Lusambo,CD,80.1,light rain,-4.9667,23.45,
553,Monrovia,LR,82.17,light rain,6.3005,-10.7969,Sunset Inn
558,Paka,MY,78.73,broken clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
560,Balkanabat,TM,78.58,clear sky,39.5108,54.3671,Nebitchi Hotel
561,Aquiraz,BR,87.89,few clouds,-3.9014,-38.3911,Pousada Rua Camurupim
568,Luganville,VU,76.28,few clouds,-15.5333,167.1667,The Espiritu Hotel
569,Kedougou,SN,84.78,scattered clouds,12.5579,-12.1743,Relais de Kédougou
572,Tutoia,BR,85.46,few clouds,-2.7619,-42.2744,Pousada Guará's
580,Salinopolis,BR,85.55,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
581,Santa Rosalia,MX,80.83,clear sky,27.3167,-112.2833,Hotel Las Casitas Santa Rosalia
583,Kpandu,GH,77.72,overcast clouds,6.9954,0.2931,Emo House
585,Mayor Pablo Lagerenza,PY,88.9,clear sky,-19.9309,-60.7718,
587,Bhuj,IN,81.43,clear sky,23.2667,69.6667,Regenta Resort Bhuj
589,Casablanca,MA,82.62,clear sky,33.5928,-7.6192,فندق البيت المغربي كازبلانكا
590,Acapulco,MX,80.42,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
593,Campoverde,PE,80.29,overcast clouds,-8.4753,-74.8058,Hospedaje Coral's
595,Springs,ZA,85.62,few clouds,-26.25,28.4,Eastwoods Guest Lodge
596,San Patricio,US,80.91,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
598,Burdur,TR,83.1,clear sky,37.7203,30.2908,Özeren Grand Hotel & Spa
599,Kirakira,SB,78.17,few clouds,-10.4544,161.9205,SanBiz Lodge
601,Denpasar,ID,78.46,scattered clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
603,Jibuti,DJ,87.46,scattered clouds,11.5,42.5,Orchid Main Camp Goubet
610,Zemio,CF,77.92,broken clouds,5.0314,25.1361,OCHA Office
612,Udalguri,IN,79.88,scattered clouds,26.7667,92.1333,Sapan House
613,Bafoulabe,ML,78.08,overcast clouds,13.8065,-10.8321,Logement du Chargé SIS Abdoul Karim Konaté
618,Manaure,CO,87.42,overcast clouds,11.7751,-72.4445,Hotel Palaaima
620,Bereda,ES,77.41,broken clouds,43.2686,-7.5406,Pazo de Verdes
623,Pontianak,ID,75.18,broken clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
624,Kalmunai,LK,83.16,overcast clouds,7.4167,81.8167,VS Villa
625,Lamu,KE,79.02,scattered clouds,-2.2717,40.902,Lamu House
632,Buta,CD,78.87,light rain,2.7858,24.73,Hôtel BOPANDO
633,Acajutla,SV,83.52,overcast clouds,13.5928,-89.8275,CASA DE LA PERRA
634,Malakal,SS,78.42,few clouds,9.5334,31.6605,Nile Palace Hotel
637,Kabompo,ZM,88.32,broken clouds,-13.5927,24.2008,Big Tree
642,Mecca,SA,87.62,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
644,Tabou,CI,76.95,light rain,4.423,-7.3528,hotêl doufoulougou
647,Marang,MY,78.71,overcast clouds,5.2056,103.2059,DBarakah Homestay
649,Diapaga,BF,86.04,broken clouds,12.0708,1.7889,Hôtel GACILIE
652,Puro,PH,80.35,clear sky,12.4841,123.3827,
653,Santa Fe,AR,77.92,clear sky,-31.6333,-60.7,Conquistador Hotel
655,Wukari,NG,84.0,overcast clouds,7.85,9.7833,Elimtop
658,Tezu,IN,77.67,clear sky,27.9167,96.1667,Circuit House
661,Mlonggo,ID,81.39,overcast clouds,-6.5333,110.7,Asia Metal Art
664,Lakhipur,IN,82.36,overcast clouds,26.0299,90.3041,Rajdhani Hotel
665,Wewak,PG,80.56,broken clouds,-3.5534,143.6268,In Wewak Boutique Hotel
666,Alyangula,AU,77.61,few clouds,-13.8483,136.4192,Groote Eylandt Lodge
670,Semporna,MY,80.33,overcast clouds,4.4818,118.6112,"Han Palace Hotel, Semporna, Sabah."
671,Lumeje,AO,87.94,scattered clouds,-11.55,20.7833,
673,Cozumel,MX,82.47,clear sky,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
674,Manokwari,ID,78.35,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
677,Tchollire,CM,82.27,light rain,8.4022,14.1698,"Auberge ""l'amicale"""
678,Barcelos,PT,77.92,scattered clouds,41.5388,-8.6151,Hotel Do Terço
683,Paradise Valley,US,83.84,clear sky,33.5312,-111.9427,JW Marriott Scottsdale Camelback Inn Resort & Spa
693,Sirna,RO,80.44,overcast clouds,44.8,25.95,Rulote piese accesorii
697,Lumut,MY,80.62,few clouds,4.2323,100.6298,"Marina Island Pangkor Resort & Hotel (Suites, Function Rooms and Convention Hall)"
698,Namibe,AO,75.83,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
699,Sinnamary,GF,86.95,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
701,Bam,IR,82.6,clear sky,29.106,58.357,Bam Tourist Hotel
